,Area Code,COGS,Profit GAP,Date,Inventory,Profit Margin,Market Size,Segment,Marketing,Entries,Product Line,Product Type,Product,Profit,Revenue,State,Target COGS,Target Profit Margin,Target Profit,Target Revenue,Total Expenses,Type
23,915,40,-0.14,2012-11-01,536,0.52,Major Market,South,13,1,Beans,Coffee,Decaf Irish Cream,26,92,Texas,40,0.6,40,100,26,Decaf
24,210,50,0.08,2012-11-01,589,0.73,Major Market,South,14,1,Beans,Espresso,Decaf Espresso,48,123,Texas,30,0.6,40,90,25,Decaf
25,970,40,-0.13,2012-11-01,536,0.52,Major Market,Central,13,1,Beans,Coffee,Colombian,27,92,Colorado,30,0.6,40,90,25,Regular
26,774,52,-0.08,2012-11-01,554,0.68,Major Market,East,47,1,Beans,Espresso,Caffe Mocha,-8,120,Massachusetts,50,0.6,0,110,76,Regular
27,954,75,0.14,2012-11-01,1063,0.89,Major Market,East,23,1,Leaves,Herbal Tea,Mint,44,164,Florida,50,0.6,30,110,45,Decaf
28,936,46,0.01,2012-11-01,424,0.68,Major Market,South,14,1,Leaves,Herbal Tea,Lemon,31,114,Texas,40,0.6,30,100,37,Decaf
29,719,55,-0.05,2012-11-01,410,0.69,Major Market,Central,20,1,Leaves,Tea,Darjeeling,15,124,Colorado,40,0.6,20,100,54,Regular
30,847,50,0.08,2012-11-01,589,0.73,Major Market,Central,14,1,Leaves,Tea,Darjeeling,48,123,Illinois,40,0.6,40,100,25,Regular
31,719,57,-0.01,2012-11-01,1042,0.68,Major Market,Central,17,1,Leaves,Tea,Earl Grey,29,125,Colorado,40,0.6,30,100,39,Regular
32,339,36,-0.09,2012-11-01,862,0.52,Major Market,East,10,1,Leaves,Tea,Darjeeling,31,88,Massachusetts,30,0.6,40,90,21,Regular
33,314,33,-0.23,2012-11-01,836,0.48,Small Market,Central,9,1,Beans,Espresso,Decaf Espresso,27,81,Missouri,40,0.6,50,100,21,Decaf
34,504,31,-0.22,2012-11-01,856,0.47,Small Market,South,8,1,Beans,Coffee,Decaf Irish Cream,28,78,Louisiana,30,0.6,50,90,19,Decaf
35,580,36,-0.1,2012-11-01,862,0.52,Small Market,South,10,1,Beans,Coffee,Decaf Irish Cream,30,88,Oklahoma,40,0.6,40,100,22,Decaf
36,225,49,0.04,2012-11-01,454,0.71,Small Market,South,15,1,Beans,Espresso,Decaf Espresso,34,120,Louisiana,30,0.6,30,90,37,Decaf
37,262,54,-0.06,2012-11-01,391,0.67,Small Market,Central,20,1,Beans,Coffee,Amaretto,14,121,Wisconsin,50,0.6,20,110,53,Regular
38,603,46,-0.1,2012-11-01,316,0.67,Small Market,East,14,1,Beans,Coffee,Amaretto,30,113,New Hampshire,40,0.6,40,100,37,Regular
39,603,43,-0.1,2012-11-01,452,0.66,Small Market,East,14,1,Beans,Coffee,Colombian,20,109,New Hampshire,30,0.6,30,90,46,Regular
40,603,44,-0.18,2012-11-01,325,0.62,Small Market,East,40,1,Beans,Espresso,Caffe Mocha,-8,106,New Hampshire,40,0.6,10,100,70,Regular
41,225,53,0.19,2012-11-01,321,0.88,Small Market,South,16,1,Beans,Espresso,Caffe Mocha,49,141,Louisiana,40,0.6,30,100,39,Regular
42,425,54,-0.07,2012-11-01,391,0.67,Small Market,West,20,1,Beans,Espresso,Caffe Mocha,13,121,Washington,50,0.6,20,110,54,Regular
43,918,54,-0.07,2012-11-01,391,0.67,Small Market,South,20,1,Leaves,Herbal Tea,Chamomile,13,121,Oklahoma,50,0.6,20,110,54,Decaf
44,801,46,0.0,2012-11-01,316,0.67,Small Market,West,14,1,Leaves,Herbal Tea,Chamomile,30,113,Utah,40,0.6,30,100,37,Decaf
45,435,43,-0.1,2012-11-01,452,0.66,Small Market,West,14,1,Leaves,Herbal Tea,Lemon,20,109,Utah,40,0.6,30,100,46,Decaf
46,509,47,0.04,2012-11-01,834,0.68,Small Market,West,13,1,Leaves,Herbal Tea,Lemon,44,115,Washington,40,0.6,40,100,24,Decaf
47,203,36,-0.07,2012-11-01,809,0.54,Small Market,East,10,1,Leaves,Tea,Green Tea,33,90,Connecticut,30,0.6,40,90,21,Regular
48,206,61,0.01,2012-11-01,613,0.86,Small Market,West,55,1,Leaves,Tea,Green Tea,1,147,Washington,40,0.6,0,100,85,Regular
49,682,43,-0.1,2012-12-01,531,0.56,Major Market,South,14,1,Beans,Coffee,Decaf Irish Cream,30,99,Texas,50,0.6,40,110,26,Decaf
50,214,54,0.12,2012-12-01,601,0.79,Major Market,South,15,1,Beans,Espresso,Decaf Espresso,52,133,Texas,40,0.6,40,100,27,Decaf
51,970,47,-0.06,2012-12-01,521,0.65,Major Market,Central,42,1,Leaves,Herbal Tea,Lemon,-6,112,Colorado,40,0.6,0,100,71,Decaf
52,303,54,-0.01,2012-12-01,424,0.73,Major Market,Central,17,1,Leaves,Herbal Tea,Mint,29,127,Colorado,50,0.6,30,110,44,Decaf
53,954,65,0.03,2012-12-01,403,0.8,Major Market,East,24,1,Leaves,Herbal Tea,Lemon,23,145,Florida,40,0.6,20,100,57,Decaf
54,561,80,0.2,2012-12-01,1079,0.96,Major Market,East,24,1,Leaves,Herbal Tea,Mint,50,176,Florida,60,0.6,30,120,46,Decaf
55,469,54,-0.02,2012-12-01,424,0.73,Major Market,South,17,1,Leaves,Herbal Tea,Chamomile,28,127,Texas,50,0.6,30,110,45,Decaf
56,214,41,-0.06,2012-12-01,435,0.6,Major Market,South,13,1,Leaves,Herbal Tea,Lemon,24,101,Texas,30,0.6,30,90,36,Decaf
57,619,54,0.03,2012-12-01,601,0.79,Major Market,West,15,1,Leaves,Tea,Earl Grey,53,133,California,30,0.6,50,90,26,Regular
58,314,31,-0.23,2012-12-01,844,0.46,Small Market,Central,8,1,Beans,Espresso,Decaf Espresso,27,77,Missouri,30,0.6,50,90,19,Decaf
59,225,34,-0.19,2012-12-01,863,0.51,Small Market,South,9,1,Beans,Coffee,Decaf Irish Cream,31,85,Louisiana,40,0.6,50,100,20,Decaf
60,580,33,-0.22,2012-12-01,870,0.49,Small Market,South,9,1,Beans,Coffee,Decaf Irish Cream,28,82,Oklahoma,30,0.6,50,90,21,Decaf
61,603,48,-0.02,2012-12-01,462,0.74,Small Market,East,15,1,Beans,Coffee,Colombian,28,122,New Hampshire,40,0.6,30,100,46,Regular
62,985,55,-0.03,2012-12-01,-1053,0.76,Small Market,South,49,1,Beans,Espresso,Caffe Latte,-3,131,Louisiana,40,0.6,0,100,79,Regular
63,505,49,-0.15,2012-12-01,335,0.69,Small Market,South,44,1,Beans,Espresso,Caffe Mocha,-5,118,New Mexico,30,0.6,10,90,74,Regular
64,775,39,-0.19,2012-12-01,250,0.49,Small Market,West,14,1,Beans,Coffee,Colombian,1,88,Nevada,40,0.6,20,100,48,Regular
65,417,49,-0.05,2012-12-01,335,0.69,Small Market,Central,44,1,Leaves,Herbal Tea,Chamomile,-5,118,Missouri,40,0.6,0,100,74,Decaf
66,920,41,0.0,2012-12-01,320,0.66,Small Market,Central,12,1,Leaves,Herbal Tea,Chamomile,30,107,Wisconsin,30,0.6,30,90,36,Decaf
67,573,92,-0.04,2012-12-01,1898,0.68,Small Market,Central,28,1,Leaves,Herbal Tea,Lemon,16,160,Missouri,80,0.6,20,140,52,Decaf
68,475,68,0.07,2012-12-01,619,0.85,Small Market,East,25,1,Leaves,Herbal Tea,Lemon,27,153,Connecticut,50,0.6,20,110,58,Decaf
69,475,63,-0.04,2012-12-01,1075,0.76,Small Market,East,19,1,Leaves,Herbal Tea,Mint,36,139,Connecticut,40,0.6,40,100,40,Decaf
70,435,92,-0.03,2012-12-01,1898,0.68,Small Market,West,28,1,Leaves,Herbal Tea,Mint,17,160,Utah,80,0.6,20,140,51,Decaf
71,920,55,-0.03,2012-12-01,627,0.76,Small Market,Central,49,1,Leaves,Tea,Earl Grey,-3,131,Wisconsin,40,0.6,0,100,79,Regular
72,720,51,-0.37,2013-10-01,503,0.71,Major Market,Central,46,1,Leaves,Herbal Tea,Lemon,-7,130,Colorado,30,0.6,30,90,76,Decaf
73,970,52,-0.11,2013-10-01,405,0.71,Major Market,Central,17,1,Leaves,Herbal Tea,Mint,39,131,Colorado,30,0.6,50,90,45,Decaf
74,430,43,-0.08,2013-10-01,419,0.64,Major Market,South,13,1,Leaves,Herbal Tea,Lemon,42,114,Texas,30,0.6,50,90,36,Decaf
75,561,38,0.02,2013-10-01,871,0.56,Major Market,East,10,1,Leaves,Tea,Darjeeling,52,100,Florida,40,0.6,50,100,21,Regular
76,510,72,0.33,2013-10-01,650,1.1,Major Market,West,23,1,Leaves,Tea,Green Tea,83,194,California,20,0.6,50,80,54,Regular
77,563,0,-0.14,2013-10-01,430,0.43,Small Market,Central,0,1,Beans,Espresso,Decaf Espresso,46,46,Iowa,0,0.6,60,60,12,Decaf
78,203,47,-0.19,2013-10-01,375,0.64,Small Market,East,15,1,Beans,Espresso,Decaf Espresso,31,118,Connecticut,30,0.6,50,90,43,Decaf
79,405,27,-0.29,2013-10-01,859,0.39,Small Market,South,7,1,Beans,Coffee,Decaf Irish Cream,31,70,Oklahoma,30,0.6,60,90,18,Decaf
80,775,31,-0.4,2013-10-01,1000,0.37,Small Market,West,9,1,Beans,Coffee,Decaf Irish Cream,10,72,Nevada,30,0.6,50,90,30,Decaf
81,435,40,-0.05,2013-10-01,881,0.59,Small Market,West,11,1,Beans,Espresso,Decaf Espresso,55,106,Utah,20,0.6,60,80,22,Decaf
82,603,49,-0.11,2013-10-01,310,0.71,Small Market,East,15,1,Beans,Coffee,Amaretto,49,128,New Hampshire,30,0.6,60,90,38,Regular
83,603,45,-0.14,2013-10-01,447,0.69,Small Market,East,14,1,Beans,Coffee,Colombian,36,121,New Hampshire,30,0.6,50,90,45,Regular
84,603,45,-0.4,2013-10-01,320,0.64,Small Market,East,41,1,Beans,Espresso,Caffe Mocha,-10,116,New Hampshire,30,0.6,30,90,71,Regular
85,504,60,-0.09,2013-10-01,-762,0.84,Small Market,South,54,1,Beans,Espresso,Caffe Latte,1,153,Louisiana,30,0.6,10,90,83,Regular
86,702,34,-0.33,2013-10-01,240,0.43,Small Market,West,12,1,Beans,Coffee,Colombian,-3,82,Nevada,40,0.6,30,100,45,Regular
87,971,54,-0.22,2013-10-01,404,0.66,Small Market,West,20,1,Beans,Espresso,Caffe Latte,18,128,Oregon,40,0.6,40,100,54,Regular
88,573,45,-0.39,2013-10-01,320,0.64,Small Market,Central,41,1,Leaves,Herbal Tea,Chamomile,-9,116,Missouri,20,0.6,30,80,70,Decaf
89,262,48,0.07,2013-10-01,851,0.7,Small Market,Central,13,1,Leaves,Herbal Tea,Lemon,67,126,Wisconsin,30,0.6,60,90,25,Decaf
90,801,49,-0.11,2013-10-01,310,0.71,Small Market,West,15,1,Leaves,Herbal Tea,Chamomile,49,128,Utah,30,0.6,60,90,38,Decaf
91,509,48,0.1,2013-10-01,829,0.71,Small Market,West,13,1,Leaves,Herbal Tea,Lemon,70,127,Washington,30,0.6,60,90,24,Decaf
92,475,40,0.03,2013-10-01,881,0.59,Small Market,East,11,1,Leaves,Tea,Darjeeling,53,106,Connecticut,40,0.6,50,100,23,Regular
93,503,82,0.45,2013-10-01,788,1.23,Small Market,West,27,1,Leaves,Tea,Earl Grey,95,218,Oregon,30,0.6,50,90,59,Regular
94,541,91,0.63,2013-10-01,656,1.27,Small Market,West,28,1,Leaves,Tea,Green Tea,113,232,Oregon,40,0.6,50,100,51,Regular
95,936,40,-0.01,2013-11-01,536,0.52,Major Market,South,13,1,Beans,Coffee,Decaf Irish Cream,39,98,Texas,40,0.6,40,100,26,Decaf
96,254,50,0.31,2013-11-01,589,0.73,Major Market,South,14,1,Beans,Espresso,Decaf Espresso,71,131,Texas,30,0.6,40,90,25,Decaf
97,719,40,0.0,2013-11-01,536,0.52,Major Market,Central,13,1,Beans,Coffee,Colombian,40,98,Colorado,30,0.6,40,90,25,Regular
98,339,52,-0.12,2013-11-01,554,0.68,Major Market,East,47,1,Beans,Espresso,Caffe Mocha,-12,128,Massachusetts,50,0.6,0,110,76,Regular
99,561,75,0.35,2013-11-01,1063,0.89,Major Market,East,23,1,Leaves,Herbal Tea,Mint,65,175,Florida,50,0.6,30,110,45,Decaf
100,806,46,0.16,2013-11-01,424,0.68,Major Market,South,14,1,Leaves,Herbal Tea,Lemon,46,121,Texas,40,0.6,30,100,37,Decaf
101,719,55,0.02,2013-11-01,410,0.69,Major Market,Central,20,1,Leaves,Tea,Darjeeling,22,132,Colorado,40,0.6,20,100,54,Regular
102,708,50,0.31,2013-11-01,589,0.73,Major Market,Central,14,1,Leaves,Tea,Darjeeling,71,131,Illinois,40,0.6,40,100,25,Regular
103,719,57,0.13,2013-11-01,1042,0.68,Major Market,Central,17,1,Leaves,Tea,Earl Grey,43,133,Colorado,40,0.6,30,100,39,Regular
104,351,36,0.06,2013-11-01,862,0.52,Major Market,East,10,1,Leaves,Tea,Darjeeling,46,94,Massachusetts,30,0.6,40,90,21,Regular
105,636,33,-0.1,2013-11-01,836,0.48,Small Market,Central,9,1,Beans,Espresso,Decaf Espresso,40,86,Missouri,40,0.6,50,100,21,Decaf
106,504,31,-0.08,2013-11-01,856,0.47,Small Market,South,8,1,Beans,Coffee,Decaf Irish Cream,42,83,Louisiana,30,0.6,50,90,19,Decaf
107,580,36,0.05,2013-11-01,862,0.52,Small Market,South,10,1,Beans,Coffee,Decaf Irish Cream,45,94,Oklahoma,40,0.6,40,100,22,Decaf
108,337,49,0.2,2013-11-01,454,0.71,Small Market,South,15,1,Beans,Espresso,Decaf Espresso,50,128,Louisiana,30,0.6,30,90,37,Decaf
109,262,54,0.01,2013-11-01,391,0.67,Small Market,Central,20,1,Beans,Coffee,Amaretto,21,129,Wisconsin,50,0.6,20,110,53,Regular
110,603,46,0.05,2013-11-01,316,0.67,Small Market,East,14,1,Beans,Coffee,Amaretto,45,120,New Hampshire,40,0.6,40,100,37,Regular
111,603,43,0.0,2013-11-01,452,0.66,Small Market,East,14,1,Beans,Coffee,Colombian,30,116,New Hampshire,30,0.6,30,90,46,Regular
112,603,44,-0.22,2013-11-01,325,0.62,Small Market,East,40,1,Beans,Espresso,Caffe Mocha,-12,113,New Hampshire,40,0.6,10,100,70,Regular
113,318,53,0.43,2013-11-01,321,0.88,Small Market,South,16,1,Beans,Espresso,Caffe Mocha,73,150,Louisiana,40,0.6,30,100,39,Regular
114,206,54,-0.01,2013-11-01,391,0.67,Small Market,West,20,1,Beans,Espresso,Caffe Mocha,19,129,Washington,50,0.6,20,110,54,Regular
115,580,54,-0.01,2013-11-01,391,0.67,Small Market,South,20,1,Leaves,Herbal Tea,Chamomile,19,129,Oklahoma,50,0.6,20,110,54,Decaf
116,435,46,0.15,2013-11-01,316,0.67,Small Market,West,14,1,Leaves,Herbal Tea,Chamomile,45,120,Utah,40,0.6,30,100,37,Decaf
117,435,43,0.0,2013-11-01,452,0.66,Small Market,West,14,1,Leaves,Herbal Tea,Lemon,30,116,Utah,40,0.6,30,100,46,Decaf
118,253,47,0.25,2013-11-01,834,0.68,Small Market,West,13,1,Leaves,Herbal Tea,Lemon,65,123,Washington,40,0.6,40,100,24,Decaf
119,203,36,0.09,2013-11-01,809,0.54,Small Market,East,10,1,Leaves,Tea,Green Tea,49,96,Connecticut,30,0.6,40,90,21,Regular
120,509,61,0.01,2013-11-01,613,0.86,Small Market,West,55,1,Leaves,Tea,Green Tea,1,157,Washington,40,0.6,0,100,85,Regular
121,956,43,0.05,2013-12-01,531,0.56,Major Market,South,14,1,Beans,Coffee,Decaf Irish Cream,45,106,Texas,50,0.6,40,110,26,Decaf
122,430,54,0.37,2013-12-01,601,0.79,Major Market,South,15,1,Beans,Espresso,Decaf Espresso,77,142,Texas,40,0.6,40,100,27,Decaf
123,719,47,-0.09,2013-12-01,521,0.65,Major Market,Central,42,1,Leaves,Herbal Tea,Lemon,-9,119,Colorado,40,0.6,0,100,71,Decaf
124,970,54,0.13,2013-12-01,424,0.73,Major Market,Central,17,1,Leaves,Herbal Tea,Mint,43,135,Colorado,50,0.6,30,110,44,Decaf
125,305,65,0.14,2013-12-01,403,0.8,Major Market,East,24,1,Leaves,Herbal Tea,Lemon,34,155,Florida,40,0.6,20,100,57,Decaf
126,407,80,0.44,2013-12-01,1079,0.96,Major Market,East,24,1,Leaves,Herbal Tea,Mint,74,188,Florida,60,0.6,30,120,46,Decaf
127,325,54,0.12,2013-12-01,424,0.73,Major Market,South,17,1,Leaves,Herbal Tea,Chamomile,42,135,Texas,50,0.6,30,110,45,Decaf
128,430,41,0.06,2013-12-01,435,0.6,Major Market,South,13,1,Leaves,Herbal Tea,Lemon,36,108,Texas,30,0.6,30,90,36,Decaf
129,408,54,0.29,2013-12-01,601,0.79,Major Market,West,15,1,Leaves,Tea,Earl Grey,79,142,California,30,0.6,50,90,26,Regular
130,816,31,-0.1,2013-12-01,844,0.46,Small Market,Central,8,1,Beans,Espresso,Decaf Espresso,40,82,Missouri,30,0.6,50,90,19,Decaf
131,337,34,-0.04,2013-12-01,863,0.51,Small Market,South,9,1,Beans,Coffee,Decaf Irish Cream,46,91,Louisiana,40,0.6,50,100,20,Decaf
132,918,33,-0.08,2013-12-01,870,0.49,Small Market,South,9,1,Beans,Coffee,Decaf Irish Cream,42,87,Oklahoma,30,0.6,50,90,21,Decaf
133,603,48,0.12,2013-12-01,462,0.74,Small Market,East,15,1,Beans,Coffee,Colombian,42,130,New Hampshire,40,0.6,30,100,46,Regular
134,225,55,-0.04,2013-12-01,-1053,0.76,Small Market,South,49,1,Beans,Espresso,Caffe Latte,-4,140,Louisiana,40,0.6,0,100,79,Regular
135,505,49,-0.17,2013-12-01,335,0.69,Small Market,South,44,1,Beans,Espresso,Caffe Mocha,-7,126,New Mexico,30,0.6,10,90,74,Regular
136,702,39,-0.19,2013-12-01,250,0.49,Small Market,West,14,1,Beans,Coffee,Colombian,1,94,Nevada,40,0.6,20,100,48,Regular
137,314,49,-0.07,2013-12-01,335,0.69,Small Market,Central,44,1,Leaves,Herbal Tea,Chamomile,-7,126,Missouri,40,0.6,0,100,74,Decaf
138,920,41,0.15,2013-12-01,320,0.66,Small Market,Central,12,1,Leaves,Herbal Tea,Chamomile,45,114,Wisconsin,30,0.6,30,90,36,Decaf
139,417,92,0.04,2013-12-01,1898,0.68,Small Market,Central,28,1,Leaves,Herbal Tea,Lemon,24,171,Missouri,80,0.6,20,140,52,Decaf
140,860,68,0.2,2013-12-01,619,0.85,Small Market,East,25,1,Leaves,Herbal Tea,Lemon,40,163,Connecticut,50,0.6,20,110,58,Decaf
141,203,63,0.13,2013-12-01,1075,0.76,Small Market,East,19,1,Leaves,Herbal Tea,Mint,53,148,Connecticut,40,0.6,40,100,40,Decaf
142,435,92,0.05,2013-12-01,1898,0.68,Small Market,West,28,1,Leaves,Herbal Tea,Mint,25,171,Utah,80,0.6,20,140,51,Decaf
143,262,55,-0.04,2013-12-01,627,0.76,Small Market,Central,49,1,Leaves,Tea,Earl Grey,-4,140,Wisconsin,40,0.6,0,100,79,Regular
144,719,39,-0.23,2012-10-01,541,0.51,Major Market,Central,12,1,Beans,Coffee,Colombian,27,90,Colorado,30,0.5,50,80,24,Regular
145,305,80,0.08,2012-10-01,1055,0.94,Major Market,East,24,1,Leaves,Herbal Tea,Mint,48,174,Florida,40,0.5,40,90,46,Decaf
146,303,54,-0.17,2012-10-01,404,0.66,Major Market,Central,20,1,Leaves,Tea,Darjeeling,13,120,Colorado,30,0.5,30,80,53,Regular
147,303,54,-0.13,2012-10-01,1037,0.64,Major Market,Central,16,1,Leaves,Tea,Earl Grey,27,118,Colorado,30,0.5,40,80,37,Regular
148,508,27,-0.3,2012-10-01,859,0.39,Major Market,East,7,1,Leaves,Tea,Darjeeling,20,66,Massachusetts,20,0.5,50,70,19,Regular
149,209,76,0.29,2012-10-01,580,1.11,Major Market,West,21,1,Leaves,Tea,Earl Grey,79,187,California,30,0.5,50,80,32,Regular
150,715,22,-0.4,2012-10-01,573,0.29,Small Market,Central,7,1,Beans,Espresso,Decaf Espresso,10,51,Wisconsin,20,0.5,50,70,19,Decaf
151,319,23,-0.32,2012-10-01,800,0.35,Small Market,Central,6,1,Beans,Espresso,Caffe Mocha,18,58,Iowa,20,0.5,50,70,17,Regular
152,959,79,0.04,2012-10-01,593,0.98,Small Market,East,30,1,Leaves,Herbal Tea,Lemon,34,177,Connecticut,40,0.5,30,90,64,Decaf
153,860,65,-0.15,2012-10-01,1053,0.77,Small Market,East,20,1,Leaves,Herbal Tea,Mint,35,142,Connecticut,30,0.5,50,80,42,Decaf
154,262,46,-0.1,2012-10-01,449,0.67,Small Market,Central,14,1,Leaves,Tea,Darjeeling,30,113,Wisconsin,20,0.5,40,70,37,Regular
155,715,60,0.0,2012-10-01,606,0.84,Small Market,Central,54,1,Leaves,Tea,Earl Grey,0,144,Wisconsin,40,0.5,0,90,84,Regular
156,206,60,0.17,2012-10-01,329,0.99,Small Market,West,18,1,Leaves,Tea,Darjeeling,57,159,Washington,20,0.5,40,70,42,Regular
157,773,40,-0.03,2012-11-01,536,0.52,Major Market,Central,13,1,Leaves,Herbal Tea,Lemon,27,92,Illinois,30,0.5,30,80,25,Decaf
158,614,36,-0.1,2012-11-01,862,0.52,Major Market,Central,10,1,Leaves,Herbal Tea,Lemon,30,88,Ohio,30,0.5,40,80,22,Decaf
159,617,55,-0.05,2012-11-01,410,0.69,Major Market,East,20,1,Leaves,Herbal Tea,Lemon,15,124,Massachusetts,40,0.5,20,90,54,Decaf
160,707,40,-0.03,2012-11-01,536,0.52,Major Market,West,13,1,Leaves,Herbal Tea,Mint,27,92,California,30,0.5,30,80,25,Decaf
161,352,28,-0.17,2012-11-01,875,0.42,Major Market,East,7,1,Leaves,Tea,Darjeeling,23,70,Florida,20,0.5,40,70,19,Regular
162,561,31,-0.12,2012-11-01,856,0.47,Major Market,East,8,1,Leaves,Tea,Green Tea,28,78,Florida,30,0.5,40,80,19,Regular
163,351,32,-0.11,2012-11-01,482,0.48,Major Market,East,8,1,Leaves,Tea,Green Tea,29,80,Massachusetts,30,0.5,40,80,19,Regular
164,650,50,0.07,2012-11-01,589,0.73,Major Market,West,14,1,Leaves,Tea,Earl Grey,47,123,California,30,0.5,40,80,26,Regular
165,712,0,-0.09,2012-11-01,387,0.43,Small Market,Central,0,1,Beans,Espresso,Decaf Espresso,31,43,Iowa,0,0.5,40,50,12,Decaf
166,505,82,-0.18,2012-11-01,1804,0.4,Small Market,South,25,1,Beans,Coffee,Decaf Irish Cream,-8,122,New Mexico,90,0.5,10,140,48,Decaf
167,515,22,-0.24,2012-11-01,802,0.34,Small Market,Central,6,1,Beans,Espresso,Caffe Mocha,16,56,Iowa,20,0.5,40,70,18,Regular
168,505,44,-0.07,2012-11-01,325,0.62,Small Market,South,40,1,Beans,Espresso,Caffe Mocha,-7,106,New Mexico,30,0.5,0,80,69,Regular
169,775,33,-0.14,2012-11-01,243,0.41,Small Market,West,12,1,Beans,Coffee,Colombian,-4,74,Nevada,30,0.5,10,80,45,Regular
170,573,44,-0.08,2012-11-01,325,0.62,Small Market,Central,40,1,Leaves,Herbal Tea,Chamomile,-8,106,Missouri,40,0.5,0,90,70,Decaf
171,262,31,-0.13,2012-11-01,856,0.47,Small Market,Central,8,1,Leaves,Herbal Tea,Lemon,27,78,Wisconsin,20,0.5,40,70,20,Decaf
172,475,69,0.08,2012-11-01,1060,0.81,Small Market,East,21,1,Leaves,Herbal Tea,Mint,38,150,Connecticut,50,0.5,30,100,43,Decaf
173,262,49,0.13,2012-11-01,454,0.71,Small Market,Central,15,1,Leaves,Tea,Darjeeling,33,120,Wisconsin,40,0.5,20,90,38,Regular
174,206,49,0.04,2012-11-01,454,0.71,Small Market,West,15,1,Leaves,Tea,Earl Grey,34,120,Washington,30,0.5,30,80,37,Regular
175,970,43,-0.01,2012-12-01,531,0.56,Major Market,Central,14,1,Beans,Coffee,Colombian,29,99,Colorado,40,0.5,30,90,27,Regular
